sep=|
ID_ENTIDAD|ID_DISTRITO_FEDERAL|PARTIDO_CI|CANDIDATURA_PROPIETARIA|CANDIDATURA_SUPLENTE
1|1|PAN|Humberto Ambriz Delgadillo|Juan Manuel Méndez Noriega
1|1|PRI|Humberto Ambriz Delgadillo|Juan Manuel Méndez Noriega
1|1|PRD|Humberto Ambriz Delgadillo|Juan Manuel Méndez Noriega
1|1|PVEM|Francisco Arturo Federico Ávila Anaya|Kristian Andrés Vera Guerrero
1|1|PT|Francisco Arturo Federico Ávila Anaya|Kristian Andrés Vera Guerrero
1|1|MC|Ulises Reyes Esparza|Julio César Alvarado Ruiz
1|1|MORENA|Francisco Arturo Federico Ávila Anaya|Kristian Andrés Vera Guerrero
1|1|PAN_PRI_PRD|Humberto Ambriz Delgadillo|Juan Manuel Méndez Noriega
1|1|PAN_PRI|Humberto Ambriz Delgadillo|Juan Manuel Méndez Noriega
1|1|PAN_PRD|Humberto Ambriz Delgadillo|Juan Manuel Méndez Noriega
1|1|PRI_PRD|Humberto Ambriz Delgadillo|Juan Manuel Méndez Noriega
1|1|PVEM_PT_MORENA|Francisco Arturo Federico Ávila Anaya|Kristian Andrés Vera Guerrero
1|1|PVEM_PT|Francisco Arturo Federico Ávila Anaya|Kristian Andrés Vera Guerrero
1|1|PVEM_MORENA|Francisco Arturo Federico Ávila Anaya|Kristian Andrés Vera Guerrero
1|1|PT_MORENA|Francisco Arturo Federico Ávila Anaya|Kristian Andrés Vera Guerrero
1|2|PAN|Mónica Becerra Moreno|María Elena Pérez-Jaén Zermeño
1|2|PRI|Mónica Becerra Moreno|María Elena Pérez-Jaén Zermeño
1|2|PRD|Mónica Becerra Moreno|María Elena Pérez-Jaén Zermeño
1|2|PVEM|Aldo Emmanuel Ruiz Sánchez|Rosa María Bonilla Barrón
1|2|PT|Aldo Emmanuel Ruiz Sánchez|Rosa María Bonilla Barrón
1|2|MC|Anayeli Muñoz Moreno|Ilian Vanessa Ledesma Saldívar
1|2|MORENA|Aldo Emmanuel Ruiz Sánchez|Rosa María Bonilla Barrón
1|2|PAN_PRI_PRD|Mónica Becerra Moreno|María Elena Pérez-Jaén Zermeño
1|2|PAN_PRI|Mónica Becerra Moreno|María Elena Pérez-Jaén Zermeño
1|2|PAN_PRD|Mónica Becerra Moreno|María Elena Pérez-Jaén Zermeño
1|2|PRI_PRD|Mónica Becerra Moreno|María Elena Pérez-Jaén Zermeño
1|2|PVEM_PT_MORENA|Aldo Emmanuel Ruiz Sánchez|Rosa María Bonilla Barrón
1|2|PVEM_PT|Aldo Emmanuel Ruiz Sánchez|Rosa María Bonilla Barrón
1|2|PVEM_MORENA|Aldo Emmanuel Ruiz Sánchez|Rosa María Bonilla Barrón
1|2|PT_MORENA|Aldo Emmanuel Ruiz Sánchez|Rosa María Bonilla Barrón
1|3|PAN|Paulo Gonzalo Martínez López|Francisco Emmanuel Muñoz Sánchez
1|3|PRI|Adriana Morales Vázquez|Miroslava Nayeli de Loera Guillén
1|3|PRD|Sanjuana Martínez Meléndez|Verónica del Rocío Díaz Sánchez
1|3|PVEM|Leslie Mayela Figueroa Treviño|Daphne Jem Moreno May
1|3|PT|Leslie Mayela Figueroa Treviño|Daphne Jem Moreno May
1|3|MC|Luz Camila Guerra Acevedo|Melisa Estefanía Cedillo Padilla
1|3|MORENA|Leslie Mayela Figueroa Treviño|Daphne Jem Moreno May
1|3|PVEM_PT_MORENA|Leslie Mayela Figueroa Treviño|Daphne Jem Moreno May
1|3|PVEM_PT|Leslie Mayela Figueroa Treviño|Daphne Jem Moreno May
1|3|PVEM_MORENA|Leslie Mayela Figueroa Treviño|Daphne Jem Moreno May
1|3|PT_MORENA|Leslie Mayela Figueroa Treviño|Daphne Jem Moreno May
2|1|PAN|Eva María Vásquez Hernández|Celia Amaro Rosales
2|1|PRI|Eva María Vásquez Hernández|Celia Amaro Rosales
2|1|PRD|Eva María Vásquez Hernández|Celia Amaro Rosales
2|1|PVEM|César Arsenio Hernández Contreras|Arturo Javier Monge Amezcua
2|1|PT|Eva Aurelia León Ponce|Esmeralda Nieblas Rocha
2|1|MC|Alma Lorena Araujo Ramos|Lizett Jhoanna Moreno Gómez
2|1|MORENA|Alma Laura Ruiz López|Alma Alejandra García Aguilar Robles
2|1|PAN_PRI_PRD|Eva María Vásquez Hernández|Celia Amaro Rosales
2|1|PAN_PRI|Eva María Vásquez Hernández|Celia Amaro Rosales
2|1|PAN_PRD|Eva María Vásquez Hernández|Celia Amaro Rosales
2|1|PRI_PRD|Eva María Vásquez Hernández|Celia Amaro Rosales
2|2|PAN|Carlos Bonilla Osuna|Alejandra Esponda Guerrero
2|2|PRI|Carlos Bonilla Osuna|Alejandra Esponda Guerrero
2|2|PRD|Carlos Bonilla Osuna|Alejandra Esponda Guerrero
2|2|PVEM|Mayra Irene Cruz Montaño|Irma Janneth López Vázquez
2|2|PT|Rosa Icela López Cárdenas|Adriana Córdova Morales
2|2|MC|Concepción Corvera Valenzuela|Elsa Roa Leyva
2|2|MORENA|Nancy Guadalupe Sánchez Arredondo|María Sandra Victoria Caldera
2|2|PAN_PRI_PRD|Carlos Bonilla Osuna|Alejandra Esponda Guerrero
2|2|PAN_PRI|Carlos Bonilla Osuna|Alejandra Esponda Guerrero
2|2|PAN_PRD|Carlos Bonilla Osuna|Alejandra Esponda Guerrero
2|2|PRI_PRD|Carlos Bonilla Osuna|Alejandra Esponda Guerrero
2|3|PAN|Raymundo Carrillo Huerta|Arturo Serratos Tejeda
2|3|PRI|Raymundo Carrillo Huerta|Arturo Serratos Tejeda
2|3|PRD|Raymundo Carrillo Huerta|Arturo Serratos Tejeda
2|3|PVEM|Matilde Terrazas Sauceda|Anays Naranjo Araiza
2|3|PT|Ramiro Orea Hernández|Josué Fabián Vallecillo Tapia
2|3|MC|Luis Antonio Palomino Dagdug|Antonio de Jesús Aguilar Aviña
2|3|MORENA|Claudia Lisbeth Moreno Ramírez|Cecilia García Ovalles
2|3|PAN_PRI_PRD|Raymundo Carrillo Huerta|Arturo Serratos Tejeda
2|3|PAN_PRI|Raymundo Carrillo Huerta|Arturo Serratos Tejeda
2|3|PAN_PRD|Raymundo Carrillo Huerta|Arturo Serratos Tejeda
2|3|PRI_PRD|Raymundo Carrillo Huerta|Arturo Serratos Tejeda
2|4|PAN|Erika Esmeralda Cortés Hernández|Edith López Báez
2|4|PRI|Erika Esmeralda Cortés Hernández|Edith López Báez
2|4|PRD|Erika Esmeralda Cortés Hernández|Edith López Báez
2|4|PVEM|Elsa Janet Hernández Llanos|Patricia Ramírez Ramírez
2|4|PT|Sergio Moctezuma Martínez López|Víctor Castillo Cerda
2|4|MC|Catalina Salas Bravo|Sara Gabriela Anaya Escajeda
2|4|MORENA|Rocío López Gorosave|Adriana del Pilar Reyes García
2|4|PAN_PRI_PRD|Erika Esmeralda Cortés Hernández|Edith López Báez
2|4|PAN_PRI|Erika Esmeralda Cortés Hernández|Edith López Báez
2|4|PAN_PRD|Erika Esmeralda Cortés Hernández|Edith López Báez
2|4|PRI_PRD|Erika Esmeralda Cortés Hernández|Edith López Báez
2|5|PAN|Alfonso Duarte Múgica|María Luisa Kato Meza
2|5|PRI|Alfonso Duarte Múgica|María Luisa Kato Meza
2|5|PRD|Alfonso Duarte Múgica|María Luisa Kato Meza
2|5|PVEM|René Humberto Romándia Tamayo|Manuel Alejandro Flores Pérez
2|5|PT|José Antonio Lizárraga Castro|José Vicente Ortega Gaytán
2|5|MC|Héctor Reginaldo Riveros Moreno|Ricardo Arturo Martínez Buenrostro
2|5|MORENA|Evangelina Moreno Guerra|Karla Patricia Sánchez Rodelo
2|5|PAN_PRI_PRD|Alfonso Duarte Múgica|María Luisa Kato Meza
2|5|PAN_PRI|Alfonso Duarte Múgica|María Luisa Kato Meza
2|5|PAN_PRD|Alfonso Duarte Múgica|María Luisa Kato Meza
2|5|PRI_PRD|Alfonso Duarte Múgica|María Luisa Kato Meza
2|6|PAN|Jaime Humberto Bracamontes Monsiváis|Sergio Rafael Cebreros Castro
2|6|PRI|Jaime Humberto Bracamontes Monsiváis|Sergio Rafael Cebreros Castro
2|6|PRD|Jaime Humberto Bracamontes Monsiváis|Sergio Rafael Cebreros Castro
2|6|PVEM|Ana Erika Santana González|Brenda Rosario Ayala Arenas
2|6|PT|Héctor Hernández Ascencio|Juan Valdés Moreno
2|6|MC|Marcello Hinojosa Jiménez|Livio Santini Aubanel
2|6|MORENA|Gilberto Herrera Solórzano|Alejandra Vianney Padilla Orozco
2|6|PAN_PRI_PRD|Jaime Humberto Bracamontes Monsiváis|Sergio Rafael Cebreros Castro
2|6|PAN_PRI|Jaime Humberto Bracamontes Monsiváis|Sergio Rafael Cebreros Castro
2|6|PAN_PRD|Jaime Humberto Bracamontes Monsiváis|Sergio Rafael Cebreros Castro
2|6|PRI_PRD|Jaime Humberto Bracamontes Monsiváis|Sergio Rafael Cebreros Castro
2|7|PAN|Mildred González Arredondo|María Nélida Pelayo Ponce
2|7|PRI|Mildred González Arredondo|María Nélida Pelayo Ponce
2|7|PRD|Mildred González Arredondo|María Nélida Pelayo Ponce
2|7|PVEM|Paco Palani Rouvroy Rodríguez|José Gilberto Alejandro Castillo Gutiérrez
2|7|PT|Estela Reyna Arellanes|Sonia María Martínez Andrade
2|7|MC|Laura Elena Ojeda Olmedo|María Jesús Trujillo Hernández
2|7|MORENA|José Armando Fernández Samaniego|Carlos Alonso Angulo Rentería
2|7|PAN_PRI_PRD|Mildred González Arredondo|María Nélida Pelayo Ponce
2|7|PAN_PRI|Mildred González Arredondo|María Nélida Pelayo Ponce
