Year,Crime Type ID,Crime Type,State ID,State,Value
2015,101,Abuso de Confianza,1,Aguascalientes,838
2015,101,Abuso de Confianza,2,Baja California,1834
2015,101,Abuso de Confianza,3,Baja California Sur,708
2015,101,Abuso de Confianza,4,Campeche,0
2015,101,Abuso de Confianza,5,Coahuila de Zaragoza,1052
2015,101,Abuso de Confianza,6,Colima,76
2015,101,Abuso de Confianza,7,Chiapas,178
2015,101,Abuso de Confianza,8,Chihuahua,1656
2015,101,Abuso de Confianza,9,Ciudad de México,5404
2015,101,Abuso de Confianza,10,Durango,1034
2015,101,Abuso de Confianza,11,Guanajuato,2210
2015,101,Abuso de Confianza,12,Guerrero,604
2015,101,Abuso de Confianza,13,Hidalgo,1070
2015,101,Abuso de Confianza,14,Jalisco,1544
2015,101,Abuso de Confianza,15,Estado de México,5408
2015,101,Abuso de Confianza,16,Michoacán de Ocampo,338
2015,101,Abuso de Confianza,17,Morelos,1418
2015,101,Abuso de Confianza,18,Nayarit,322
2015,101,Abuso de Confianza,19,Nuevo León,1628
2015,101,Abuso de Confianza,20,Oaxaca,62
2015,101,Abuso de Confianza,21,Puebla,2542
2015,101,Abuso de Confianza,22,Querétaro,914
2015,101,Abuso de Confianza,23,Quintana Roo,1202
2015,101,Abuso de Confianza,24,San Luis Potosí,762
2015,101,Abuso de Confianza,25,Sinaloa,478
2015,101,Abuso de Confianza,26,Sonora,486
2015,101,Abuso de Confianza,27,Tabasco,706
2015,101,Abuso de Confianza,28,Tamaulipas,888
2015,101,Abuso de Confianza,29,Tlaxcala,130
2015,101,Abuso de Confianza,30,Veracruz de Ignacio de la Llave,1642
2015,101,Abuso de Confianza,31,Yucatán,2262
2015,101,Abuso de Confianza,32,Zacatecas,580
2015,102,Daño a la Propiedad,1,Aguascalientes,3720
2015,102,Daño a la Propiedad,2,Baja California,21950
2015,102,Daño a la Propiedad,3,Baja California Sur,3538
2015,102,Daño a la Propiedad,4,Campeche,470
2015,102,Daño a la Propiedad,5,Coahuila de Zaragoza,16660
2015,102,Daño a la Propiedad,6,Colima,292
2015,102,Daño a la Propiedad,7,Chiapas,2526
2015,102,Daño a la Propiedad,8,Chihuahua,12838
2015,102,Daño a la Propiedad,9,Ciudad de México,19032
2015,102,Daño a la Propiedad,10,Durango,4412
2015,102,Daño a la Propiedad,11,Guanajuato,16828
2015,102,Daño a la Propiedad,12,Guerrero,3908
2015,102,Daño a la Propiedad,13,Hidalgo,3564
2015,102,Daño a la Propiedad,14,Jalisco,14782
2015,102,Daño a la Propiedad,15,Estado de México,24942
2015,102,Daño a la Propiedad,16,Michoacán de Ocampo,2434
2015,102,Daño a la Propiedad,17,Morelos,6036
2015,102,Daño a la Propiedad,18,Nayarit,468
2015,102,Daño a la Propiedad,19,Nuevo León,16198
2015,102,Daño a la Propiedad,20,Oaxaca,884
2015,102,Daño a la Propiedad,21,Puebla,8732
2015,102,Daño a la Propiedad,22,Querétaro,3964
2015,102,Daño a la Propiedad,23,Quintana Roo,6792
2015,102,Daño a la Propiedad,24,San Luis Potosí,4930
2015,102,Daño a la Propiedad,25,Sinaloa,5190
2015,102,Daño a la Propiedad,26,Sonora,4300
2015,102,Daño a la Propiedad,27,Tabasco,5526
2015,102,Daño a la Propiedad,28,Tamaulipas,4214
2015,102,Daño a la Propiedad,29,Tlaxcala,712
2015,102,Daño a la Propiedad,30,Veracruz de Ignacio de la Llave,8244
2015,102,Daño a la Propiedad,31,Yucatán,9380
2015,102,Daño a la Propiedad,32,Zacatecas,2812
2015,103,Despojo,1,Aguascalientes,358
2015,103,Despojo,2,Baja California,2392
2015,103,Despojo,3,Baja California Sur,524
2015,103,Despojo,4,Campeche,22
2015,103,Despojo,5,Coahuila de Zaragoza,746
2015,103,Despojo,6,Colima,104
2015,103,Despojo,7,Chiapas,706
2015,103,Despojo,8,Chihuahua,1224
2015,103,Despojo,9,Ciudad de México,6494
2015,103,Despojo,10,Durango,746
2015,103,Despojo,11,Guanajuato,1572
2015,103,Despojo,12,Guerrero,858
2015,103,Despojo,13,Hidalgo,1280
2015,103,Despojo,14,Jalisco,2890
2015,103,Despojo,15,Estado de México,6356
2015,103,Despojo,16,Michoacán de Ocampo,656
2015,103,Despojo,17,Morelos,1914
2015,103,Despojo,18,Nayarit,370
2015,103,Despojo,19,Nuevo León,1562
2015,103,Despojo,20,Oaxaca,232
2015,103,Despojo,21,Puebla,2788
2015,103,Despojo,22,Querétaro,966
2015,103,Despojo,23,Quintana Roo,1194
2015,103,Despojo,24,San Luis Potosí,550
2015,103,Despojo,25,Sinaloa,674
2015,103,Despojo,26,Sonora,662
2015,103,Despojo,27,Tabasco,984
2015,103,Despojo,28,Tamaulipas,682
2015,103,Despojo,29,Tlaxcala,230
2015,103,Despojo,30,Veracruz de Ignacio de la Llave,2312
2015,103,Despojo,31,Yucatán,670
2015,103,Despojo,32,Zacatecas,490
2015,104,Extorsión,1,Aguascalientes,78
2015,104,Extorsión,2,Baja California,442
2015,104,Extorsión,3,Baja California Sur,98
2015,104,Extorsión,4,Campeche,68
2015,104,Extorsión,5,Coahuila de Zaragoza,72
2015,104,Extorsión,6,Colima,28
2015,104,Extorsión,7,Chiapas,434
2015,104,Extorsión,8,Chihuahua,22
2015,104,Extorsión,9,Ciudad de México,1260
2015,104,Extorsión,10,Durango,124
2015,104,Extorsión,11,Guanajuato,16
2015,104,Extorsión,12,Guerrero,288
2015,104,Extorsión,13,Hidalgo,84
2015,104,Extorsión,14,Jalisco,1590
2015,104,Extorsión,15,Estado de México,3160
2015,104,Extorsión,16,Michoacán de Ocampo,86
2015,104,Extorsión,17,Morelos,344
2015,104,Extorsión,18,Nayarit,2
2015,104,Extorsión,19,Nuevo León,1018
2015,104,Extorsión,20,Oaxaca,66
2015,104,Extorsión,21,Puebla,546
2015,104,Extorsión,22,Querétaro,12
2015,104,Extorsión,23,Quintana Roo,232
2015,104,Extorsión,24,San Luis Potosí,282
2015,104,Extorsión,25,Sinaloa,256
2015,104,Extorsión,26,Sonora,40
2015,104,Extorsión,27,Tabasco,342
2015,104,Extorsión,28,Tamaulipas,348
2015,104,Extorsión,29,Tlaxcala,18
2015,104,Extorsión,30,Veracruz de Ignacio de la Llave,252
2015,104,Extorsión,31,Yucatán,136
2015,104,Extorsión,32,Zacatecas,182
2015,105,Fraude,1,Aguascalientes,2174
2015,105,Fraude,2,Baja California,3986
2015,105,Fraude,3,Baja California Sur,1292
2015,105,Fraude,4,Campeche,10
2015,105,Fraude,5,Coahuila de Zaragoza,1964
2015,105,Fraude,6,Colima,88
2015,105,Fraude,7,Chiapas,586
2015,105,Fraude,8,Chihuahua,5296
2015,105,Fraude,9,Ciudad de México,23342
2015,105,Fraude,10,Durango,4188
2015,105,Fraude,11,Guanajuato,4814
2015,105,Fraude,12,Guerrero,1476
2015,105,Fraude,13,Hidalgo,1796
2015,105,Fraude,14,Jalisco,12162
2015,105,Fraude,15,Estado de México,10284
2015,105,Fraude,16,Michoacán de Ocampo,1024
2015,105,Fraude,17,Morelos,3560
2015,105,Fraude,18,Nayarit,1082
2015,105,Fraude,19,Nuevo León,5004
2015,105,Fraude,20,Oaxaca,300
2015,105,Fraude,21,Puebla,8454
2015,105,Fraude,22,Querétaro,2964
2015,105,Fraude,23,Quintana Roo,2858
2015,105,Fraude,24,San Luis Potosí,2354
2015,105,Fraude,25,Sinaloa,866
2015,105,Fraude,26,Sonora,1298
2015,105,Fraude,27,Tabasco,2108
2015,105,Fraude,28,Tamaulipas,1934
2015,105,Fraude,29,Tlaxcala,692
2015,105,Fraude,30,Veracruz de Ignacio de la Llave,5204
2015,105,Fraude,31,Yucatán,3124
2015,105,Fraude,32,Zacatecas,1488
2015,106,Robo,1,Aguascalientes,21438
2015,106,Robo,2,Baja California,97676
2015,106,Robo,3,Baja California Sur,18226
2015,106,Robo,4,Campeche,1716
2015,106,Robo,5,Coahuila de Zaragoza,26280
2015,106,Robo,6,Colima,5972
2015,106,Robo,7,Chiapas,15860
2015,106,Robo,8,Chihuahua,32278
2015,106,Robo,9,Ciudad de México,154814
2015,106,Robo,10,Durango,20726
2015,106,Robo,11,Guanajuato,63310
2015,106,Robo,12,Guerrero,25200
2015,106,Robo,13,Hidalgo,19732
2015,106,Robo,14,Jalisco,54894
2015,106,Robo,15,Estado de México,337304
2015,106,Robo,16,Michoacán de Ocampo,32002
2015,106,Robo,17,Morelos,41128
2015,106,Robo,18,Nayarit,2936
2015,106,Robo,19,Nuevo León,29068
2015,106,Robo,20,Oaxaca,3474
2015,106,Robo,21,Puebla,46332
2015,106,Robo,22,Querétaro,35254
2015,106,Robo,23,Quintana Roo,25304
2015,106,Robo,24,San Luis Potosí,12066
2015,106,Robo,25,Sinaloa,20230
2015,106,Robo,26,Sonora,19994
2015,106,Robo,27,Tabasco,36182
2015,106,Robo,28,Tamaulipas,38546
2015,106,Robo,29,Tlaxcala,9472
2015,106,Robo,30,Veracruz de Ignacio de la Llave,35682
2015,106,Robo,31,Yucatán,7250
2015,106,Robo,32,Zacatecas,14772
2015,107,Otros Delitos contra el Patrimonio,1,Aguascalientes,2
2015,107,Otros Delitos contra el Patrimonio,2,Baja California,396
2015,107,Otros Delitos contra el Patrimonio,3,Baja California Sur,172
2015,107,Otros Delitos contra el Patrimonio,4,Campeche,64
2015,107,Otros Delitos contra el Patrimonio,5,Coahuila de Zaragoza,2222
2015,107,Otros Delitos contra el Patrimonio,6,Colima,10
2015,107,Otros Delitos contra el Patrimonio,7,Chiapas,4
2015,107,Otros Delitos contra el Patrimonio,8,Chihuahua,208
2015,107,Otros Delitos contra el Patrimonio,9,Ciudad de México,0
2015,107,Otros Delitos contra el Patrimonio,10,Durango,420
2015,107,Otros Delitos contra el Patrimonio,11,Guanajuato,0
2015,107,Otros Delitos contra el Patrimonio,12,Guerrero,150
2015,107,Otros Delitos contra el Patrimonio,13,Hidalgo,14
2015,107,Otros Delitos contra el Patrimonio,14,Jalisco,0
2015,107,Otros Delitos contra el Patrimonio,15,Estado de México,88
2015,107,Otros Delitos contra el Patrimonio,16,Michoacán de Ocampo,14
2015,107,Otros Delitos contra el Patrimonio,17,Morelos,524
2015,107,Otros Delitos contra el Patrimonio,18,Nayarit,16
2015,107,Otros Delitos contra el Patrimonio,19,Nuevo León,168
2015,107,Otros Delitos contra el Patrimonio,20,Oaxaca,566
